ch 1,ch 2,ch 3,ch 4,ch 5,ch 6,ch 7,ch 8,ch 9,ch 10,ch 11,ch 12,ch 13,ch 14,ch 15,angle
0.01764758107814161,0.00031514289171025536,0.00031514289171025536,0.01764011235014062,7.067572879929559e-17,0.17523019171961265,0.030838466874181528,0.030838466874181528,0.17532557300194948,0.00022048231293382095,0.09497581973829071,0.009046193707143005,0.009046193707143005,0.09490572689309722,1.5583957877344273e-19,0.007801075001061523
0.01660075383156018,0.0002789845504537811,0.0002789845504537811,0.016590581559383494,6.507132195179124e-17,0.1500752301207845,0.02260901560967945,0.02260901560967945,0.15007104621674766,0.0001612319139581892,0.08066648398779712,0.00652522464513623,0.00652522464513623,0.08056989457446453,7.77634195948299e-20,0.007804138941154989
0.016045173712195705,0.00026071291185201845,0.00026071291185201845,0.01603430758478252,6.218417538009956e-17,0.1372140064537501,0.018890406296849495,0.018890406296849495,0.13714606733591847,0.00013621982480920114,0.07256595573272874,0.005277280326504155,0.005277280326504155,0.07243410811132933,5.224302201324225e-20,0.007807409404721306
0.015643691479029023,0.00024790803751097417,0.00024790803751097417,0.01563276079702852,6.013455999181502e-17,0.13419049490682905,0.018065463530453126,0.018065463530453126,0.13411048426112473,0.00013079126026466412,0.07120973332872081,0.005081119350892235,0.005081119350892235,0.07107088343686663,4.885589869392058e-20,0.0078108932164087964
0.015258209455157485,0.00023591776623891434,0.00023591776623891434,0.015247246214033314,5.81951565429886e-17,0.13629726432277545,0.01863650521580449,0.01863650521580449,0.13621896300952505,0.00013455652803912884,0.07491458758529865,0.005623895968380483,0.005623895968380483,0.07478237889213461,5.865442525283717e-20,0.007814597148278089
0.01494475937550886,0.00022638299816572045,0.00022638299816572045,0.01493363372920747,5.663847825238026e-17,0.1389061536458308,0.01935475987977711,0.01935475987977711,0.13882565059718202,0.00013933022495554988,0.08046168646559176,0.0064852656913603835,0.0064852656913603835,0.08032212389135956,7.698894542192621e-20,0.007818527897319943
0.014759667664103094,0.00022084522271423345,0.00022084522271423345,0.01474845074791347,5.572772989352252e-17,0.13891692077444673,0.01935779528295005,0.01935779528295005,0.1388365630779592,0.00013935018502664277,0.08423678821411412,0.00710495746322498,0.00710495746322498,0.08408272785184942,9.255889820952658e-20,0.007822692060680475
0.01454664391618759,0.00021456651553092282,0.00021456651553092282,0.014535659818051001,5.468725515649673e-17,0.13508055157769147,0.018307587861417396,0.018307587861417396,0.1350084999248915,0.0001323723410228397,0.08336959451335135,0.006960444167935129,0.006960444167935129,0.08322090158700778,8.872956588603577e-20,0.007827096106735397
0.013865285058747399,0.00019514367007897427,0.00019514367007897427,0.013856898000888308,5.1413979767736366e-17,0.12761961231357255,0.01634856302027585,0.01634856302027585,0.12756192913190015,0.00011954332080756963,0.07668179955324432,0.00589576110494397,0.00589576110494397,0.07657399884332697,6.397652310316706e-20,0.007831746340346885
0.012212113087963864,0.0001519548285290635,0.0001519548285290635,0.01221438505181739,4.380776541600227e-17,0.11765296522158049,0.013903278561000204,0.013903278561000204,0.11760921130943904,0.00010382984083990825,0.06529145011818976,0.004284271717983962,0.004284271717983962,0.06524196675247769,3.639635755664942e-20,0.007836648860817195
0.009473480022953814,9.2343221630019e-05,9.2343221630019e-05,0.009496766393871373,3.219028052776301e-17,0.10668782208192626,0.01144003490053391,0.01144003490053391,0.10665142922032615,8.825483001649114e-05,0.05245451129813827,0.0027715895415434187,0.0027715895415434187,0.05243068701542213,1.8926358381527576e-20,0.00784180951131875
0.006257872790635769,4.1081951693569825e-05,4.1081951693569825e-05,0.006296722977084825,1.9974247191745594e-17,0.09616627167799364,0.009300484076735734,0.009300484076735734,0.0961287900744476,7.482941878370055e-05,0.042233270482537506,0.0017971131552780594,0.0017971131552780594,0.04217495508173269,1.0958840525934015e-20,0.00784723381906071
0.0037388817121710074,1.4958370088382035e-05,1.4958370088382035e-05,0.0037551890658181104,1.1372583524070809e-17,0.0871032196140239,0.007633922021262429,0.007633922021262429,0.08705903620797631,6.434262869102678e-05,0.03744899101144102,0.001411482935509778,0.001411482935509778,0.03735127191054046,8.374265728434671e-21,0.00785292692617053
0.0029746269062288894,9.466615024899895e-06,9.466615024899895e-06,0.0029647153757872457,8.917916202742107e-18,0.07993565290171067,0.0064319734539894525,0.0064319734539894525,0.0798838964116558,5.669508034135687e-05,0.03831587345672153,0.0014777034152003998,0.0014777034152003998,0.03822265502109336,8.799788419825319e-21,0.007858893512177797
0.004182465828506683,1.862033852560274e-05,1.862033852560274e-05,0.004202588321381637,1.282956516791234e-17,0.07450537336664141,0.005589995949014292,0.005589995949014292,0.07444877156759093,5.12545513154911e-05,0.04247775519430712,0.0018152033708203658,0.0018152033708203658,0.04238783261722124,1.1107474395922882e-20,0.007865137709970669
0.00654528026642774,4.4597867022876685e-05,4.4597867022876685e-05,0.006565355635282447,2.1007753158352086e-17,0.07016455739682244,0.004959783761467363,0.004959783761467363,0.07010678415000797,4.711261966216502e-05,0.04611631650613344,0.0021367871664293337,0.0021367871664293337,0.04600880082048702,1.353787730649112e-20,0.007871663018030309
0.008655033327377156,7.683332017403418e-05,7.683332017403418e-05,0.00865265916466984,2.894139809477976e-17,0.0660217703260616,0.004393949922163178,0.004393949922163178,0.06596655672701766,4.332346649313468e-05,0.04575695261592912,0.002104068888495882,0.002104068888495882,0.045653459709649416,1.3278576205866017e-20,0.007878472212547193
0.009214805295501815,8.681333496689637e-05,8.681333496689637e-05,0.009204583661424433,3.115276775292819e-17,0.061203855752426976,0.0037795260655212283,0.0037795260655212283,0.06115594671566954,3.910934581110207e-05,0.040053787667922995,0.0016178725309118297,0.0016178725309118297,0.04000490892792188,9.70790849988226e-21,0.007885567263599425
0.007623201348527665,6.013864414973047e-05,6.013864414973047e-05,0.007642090119537064,2.498361416233465e-17,0.0551824679522459,0.003076987883175591,0.003076987883175591,0.05514673827966683,3.411951786084929e-05,0.03049796569835973,0.0009451533318988641,0.0009451533318988641,0.03052350947246842,5.531328106982994e-21,0.007892949259824106
0.004228757740249112,1.9804427300623896e-05,1.9804427300623896e-05,0.004337645184880364,1.2983000716545586e-17,0.048167483113620874,0.0023492338589143113,0.0023492338589143113,0.048142776080189346,2.8672022311133497e-05,0.0206359927725444,0.0004367448583458185,0.0004367448583458185,0.020676760684255967,2.8208183909103215e-21,0.00790061834587657
0.0007910650597259667,1.078846330988342e-06,1.078846330988342e-06,0.0009305364440628228,2.276366145472128e-18,0.04125293504364029,0.0017268011777217653,0.0017268011777217653,0.04122650251105035,2.3662984374668724e-05,0.014123193606690258,0.00020481001297555782,0.00020481001297555782,0.01408857509180397,1.6171978711808582e-21,0.00790857367647198
0.0028083138698325716,8.826944807642477e-06,8.826944807642477e-06,0.0028590100826516134,8.392905720675691e-18,0.03591662664288193,0.0013107808720320669,0.0013107808720320669,0.035874783256220226,2.002671358898556e-05,0.012689962677304347,0.0001649782008063642,0.0001649782008063642,0.01262164702907748,1.3990127638995556e-21,0.007916813390002593
0.003944950047269504,1.6376907756303015e-05,1.6376907756303015e-05,0.0039343685310879945,1.2046446361867733e-17,0.03304014640304228,0.00110999091044736,0.00110999091044736,0.03298574969841212,1.8145457053477042e-05,0.015561961956008598,0.0002480356308935015,0.0002480356308935015,0.015526699253132645,1.851801447863276e-21,0.007925334603677272
0.0026519606629172065,7.95198537264075e-06,7.95198537264075e-06,0.002708019966316456,7.902282372077544e-18,0.032194278603630465,0.0010541954705908093,0.0010541954705908093,0.032137354734300905,1.76024426295521e-05,0.02034346662517042,0.00042114561244188973,0.00042114561244188973,0.020300088752061293,2.7583369774649183e-21,0.007934133430896632
