ch1,angle
0.007239735,1.195211009
0.083861043,1.190141904
0.187648209,1.185074454
0.221900561,1.180008659
0.158749044,1.174926381
0.045756025,1.169915066
0.149118139,1.165056049
0.259928084,1.160419948
0.160121141,1.156063442
0.085167285,1.152027841
0.259881848,1.14833864
0.693110096,1.145005576
0.970807146,1.142024322
0.74568021,1.13937991
0.211355216,1.137050424
0.832430139,1.135009985
1.475727235,1.133230058
1.565590695,1.131678729
1.19736613,1.130319736
0.889013316,1.129113091
0.744448483,1.128017189
0.42135855,1.126991293
1.777745007,1.125997666
2.70131389,1.12500297
2.523450118,1.123978671
1.516214049,1.122901382
0.384382936,1.121754055
1.378743378,1.120526854
2.290217091,1.119216362
2.405817958,1.117823984
1.8021953,1.116355213
0.877240103,1.108931372
0.231956998,1.101584431
0.911566954,1.094420949
1.43058101,1.087336117
1.597451752,1.080315835
1.52518392,1.073298499
1.123843544,1.066330331
0.438656322,1.059539312
0.287145378,1.052698505
0.852340983,1.0459035
1.237536035,1.039182019
1.373688495,1.032393233
1.413364044,1.025458538
0.985710077,1.018493023
0.329962011,1.011465598
1.3732885,1.004446396
2.213653315,0.997424144
1.982232719,0.990226578
0.941498265,0.982737922
0.397987856,0.97486645
1.476883989,0.966751691
2.11524327,0.958232151
1.966958332,0.949595763
1.278103485,0.94072437
0.434589709,0.931550565
0.461282796,0.922179172
1.137212671,0.912849434
1.389868017,0.903591316
1.342816321,0.894334605
1.09926946,0.885075413
0.634817826,0.875944885
0.151307544,0.867301508
0.250760835,0.858851124
0.473218204,0.850616421
0.55137277,0.842557932
0.438750728,0.834772841
0.282274902,0.827377274
0.26727068,0.820416628
0.378358681,0.813606336
0.433430376,0.807253822
0.317306653,0.800966172
0.069403428,0.794985598
0.047410792,0.789149083
0.408463441,0.783747533
0.767145188,0.778648256
0.90880101,0.773624077
0.789336674,0.768583346
0.267633262,0.763478118
0.414511758,0.75838679
0.966663159,0.753385438
1.335422789,0.748485948
1.289263979,0.743545611
0.808720304,0.738873506
0.227936605,0.7342025
0.354370069,0.729535156
0.925589832,0.725265883
1.223523733,0.720809902
1.000867721,0.716259673
0.718537427,0.711587056
0.585351507,0.706861617
0.729268729,0.701804928
0.809212805,0.696582483
0.523187677,0.690934979
0.266129104,0.684971833
1.110832693,0.678581654
1.772506009,0.671820922
2.007508414,0.664728048
1.802669857,0.657282978
1.184145715,0.649322973
0.365296761,0.641054566
