ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,joint_angle
0.029742325,0.01256266,0.02763673,0.012238444,0.013015492,0.11903014,0.000162952,0.000169818,0.014083116,0,0,0,0,0,0,1.039182019
0.033033801,0.018012065,0.025867787,0.001360322,0.006031168,0.111876079,1.15E-06,1.48E-05,0.012565383,0.5,0.333333333,0,0,0,0,1.032393233
0.033992955,0.016246786,0.074292176,0.004748781,0.003352826,0.086795411,8.87E-06,1.05E-05,0.007496201,0.25,0,0,0,0,0,1.025458538
0.023654451,0.014931084,0.107362854,0.044260996,0.00238992,0.049453709,0.002076094,5.30E-06,0.002509428,0,0,0,0,0,0,1.018493023
0.007801788,0.010290237,0.117592321,0.05939676,0.017371232,0.017169276,0.003541138,0.000316963,0.00019058,0,0,0.333333333,0.5,0,0,1.011465598
0.033024131,0.001201101,0.098578451,0.056354328,0.010271352,0.067795677,0.003258381,0.000104912,0.004634832,0,0.333333333,0,0,0.5,0,1.004446396
0.053339891,0.001848168,0.052930057,0.018480961,0.006328841,0.119244706,0.00034925,4.54E-05,0.014379924,0.25,0,0,0,0,0,0.997424144
0.047745314,0.003324112,0.013123918,0.035945405,0.003251196,0.114143642,0.001367941,7.82E-06,0.012844947,0,0.333333333,0,0,0,0.5,0.990226578
0.022585633,0.002116475,0.053232457,0.059243023,0.013943935,0.092154972,0.003560268,0.000202177,0.008497873,0,0,0,0,0.5,0,0.982737922
0.009446308,0.007310623,0.08631962,0.061392931,0.005119249,0.042565148,0.003812792,2.95E-05,0.001930613,0,0,0,0.5,0,0,0.97486645
0.035528545,0.009089909,0.087601659,0.047167159,0.00605469,0.04014327,0.002291822,4.09E-05,0.001777091,0,0,0,0,0,0,0.966751691
0.050960835,0.014037284,0.05426905,0.012368607,0.007799422,0.089244881,0.000167788,7.10E-05,0.00798866,0.25,0,0,0,0,0,0.958232151
0.047376057,0.014449332,0.012940987,0.023789175,0.003900261,0.097944044,0.000611913,1.55E-05,0.009605139,0,0,0,0,0,0.5,0.949595763
0.03072304,0.011166037,0.032705632,0.039253454,0.008035974,0.075559522,0.00158166,6.51E-05,0.005746054,0,0,0,0,0,0,0.94072437
0.010331155,0.00756515,0.058052039,0.042208467,0.004495244,0.029220738,0.001806527,1.81E-05,0.00089346,0,0,0,0,0,0,0.931550565
0.010976459,0.00451115,0.061774883,0.041212534,0.007529758,0.012999372,0.001745396,5.43E-05,0.000183272,0,0,0.333333333,0,0,0,0.922179172
0.027317015,0.001939633,0.045714521,0.022029472,0.012648062,0.053367224,0.00051105,0.000162338,0.002902221,0,0,0,0,0.5,0,0.912849434
0.03342494,0.007407359,0.016633469,0.003361956,0.010656632,0.059312538,1.42E-05,0.000112314,0.003531205,0.25,0,0,0,0,0,0.903591316
0.032287469,0.012963432,0.00574595,0.006866309,0.008642021,0.035415302,5.66E-05,8.57E-05,0.001281991,0,0,0,0,0,0.5,0.894334605
0.026399741,0.014473855,0.016672532,0.016669714,0.001711862,0.015760045,0.000293147,3.37E-06,0.000253299,0,0.333333333,0,0,0,0,0.885075413
0.015171656,0.011704688,0.023127962,0.025064929,0.00704857,0.010607989,0.000653469,5.37E-05,0.000114297,0,0,0,0,0,0,0.875944885
0.003482829,0.008958931,0.028077029,0.022084575,0.003041827,0.009254582,0.000510849,1.04E-05,9.91E-05,0,0,0,0.5,0,0,0.867301508
0.005887105,0.007724451,0.030180449,0.013805076,0.002723698,0,0.00020751,7.86E-06,0,0,0,1,0,0,0,0.858851124
0.011264996,0.004154666,0.030667331,0.00737538,0.011991199,0.003921519,6.32E-05,0.000146788,6.29E-06,0,0,0.333333333,0,0,0,0.850616421
0.013154377,0.004375166,0.025825892,0.001637581,0.016495445,0.017382635,2.13E-06,0.000275755,0.000323945,0.25,0,0,0,0,0,0.842557932
0.010431747,0.00910442,0.017550451,0.008333609,0.006578317,0.018099082,8.21E-05,1.82E-05,0.000332919,0,0.333333333,0,0,0,0,0.834772841
0.006648956,0.006796686,0.00554104,0.004429925,0.00536378,0.029879232,2.64E-05,1.02E-05,0.0009423,0,0.333333333,0,0,0,0.5,0.827377274
0.00628623,0.01176779,0.004829043,0.002994974,0.012788746,0.016625781,1.37E-05,0.000180744,0.00028492,0,0,0,0,0,0,0.820416628
0.008971774,0.013164472,0.010881158,0.004744777,0.009761294,0.010038279,3.01E-05,0.000108621,9.96E-05,0,0.333333333,0,0,0,0,0.813606336
0.010303128,0.005437371,0.01806272,0.00100385,0.015400612,0.019401768,6.80E-07,0.000238091,0.000390447,0.25,0,0,0,0,0,0.807253822
0.007495846,0.003024092,0.026661296,0.0112295,0.016279097,0.011551725,0.000147872,0.000270419,0.000159857,0,0,0,0,0.5,0,0.800966172
0.001502803,0.010056943,0.026408601,0.00773518,0.010350771,0.010895349,7.39E-05,0.000107528,0.000136478,0,0,0,0,0,0,0.794985598
0.000971132,0.014399014,0.018853328,0.008316731,0.005946276,0.015885767,7.96E-05,4.24E-05,0.000279853,0,0,0,0.5,0,0,0.789149083
0.009699554,0.013042265,0.015046267,0.021185598,0.015372212,0.001850578,0.000479016,0.000265351,2.36E-06,0,0,0.666666667,0,0,0,0.783747533
0.01837066,0.003166078,0.011448821,0.012370386,0.023478475,0.012819519,0.000168898,0.000561066,0.000176981,0,0,0,0,0.5,0,0.778648256
0.021795179,0.006558642,0.00348402,0.001609701,0.006066366,0.022083436,2.55E-06,1.69E-05,0.000511505,0.25,0.333333333,0,0,0,0.5,0.773624077
0.018907138,0.004360224,0.007229312,0.01511349,0.00571104,0.026204503,0.000254521,3.28E-05,0.000700148,0,0,0,0,0,0,0.768583346
0.006294995,0.002427873,0.019862855,0.032627711,0.001920266,0.022450159,0.001107917,1.74E-06,0.000520554,0,0.333333333,0,0.5,0,0,0.763478118
0.009845772,0.005144023,0.027198702,0.02984488,0.011338487,0.007275762,0.000910428,0.000137483,6.36E-05,0,0,0.333333333,0,0,0,0.75838679
0.023193993,0.011827201,0.024739447,0.022962129,0.010499084,0.018786486,0.000547617,0.000116647,0.000381325,0,0,0,0,0,0,0.753385438
0.032108731,0.013776161,0.011179944,0.00969704,0.003285085,0.034047348,0.000115289,1.25E-05,0.001168619,0,0.333333333,0,0,0,0,0.748485948
0.030992845,0.012325778,0.005092026,0.014455732,0.001120956,0.034672532,0.00023585,1.61E-06,0.00122102,0,0.333333333,0,0,0,0.5,0.743545611
0.019375736,0.012218231,0.018684602,0.028203504,0.002523829,0.021963035,0.000827894,3.32E-06,0.000496804,0,0.333333333,0,0,0,0,0.738873506
0.005335331,0.00828852,0.024487729,0.027273309,0.015053701,0.005529548,0.000765654,0.000227866,1.17E-05,0,0,0.333333333,0.5,0,0,0.7342025
0.008391851,0.005384701,0.019055611,0.028409099,0.03078989,0.021006598,0.000828675,0.000966933,0.000467789,0,0,0,0,0.5,0,0.729535156
0.022201048,0.018494826,0.007703354,0.023805053,0.017486645,0.024266708,0.000599582,0.000321198,0.000601044,0,0,0,0,0,0,0.725265883
0.029403579,0.023030197,0.003559162,0.007220611,0.004030695,0.025490545,2.26E-05,1.77E-05,0.000685037,0.25,0,0,0,0,0.5,0.720809902
0.024020886,0.024222125,0.012407048,0.016700462,0.002051141,0.011631717,0.00031101,2.65E-06,0.000139193,0,0.333333333,0,0,0,0,0.716259673
0.017195571,0.019594502,0.015897632,0.010407018,0.017436096,0.004318552,0.000124302,0.000316047,9.36E-06,0,0,0.333333333,0,0,0,0.711587056
0.013975811,0.007311146,0.00916378,0.004078349,0.026149936,0.030858241,6.82E-06,0.000703487,0.00101861,0.25,0,0,0,0,0,0.706861617
0.017454999,0.003040122,0.00589752,0.009384503,0.009930895,0.02782168,0.000105042,0.000108206,0.000829824,0,0,0,0,0.5,0.5,0.701804928
0.019387642,0.004430821,0.009075087,0.004141649,0.001036833,0.014695803,1.83E-05,5.60E-07,0.000246289,0.25,0.333333333,0.333333333,0,0,0,0.696582483
0.012473005,0.005238556,0.004918587,0.02536668,0.002000197,0.040325778,0.000688243,5.15E-06,0.001656136,0,0,0,0,0,0.5,0.690934979
0.006258632,0.005205153,0.022894994,0.042433041,0.001925329,0.033848339,0.001833929,4.66E-06,0.001169784,0,0,0,0.5,0,0,0.684971833
0.026679281,0.005493263,0.031781676,0.0408589,0.006380698,0.010468841,0.001721595,4.53E-05,3.81E-05,0,0.333333333,0.333333333,0,0,0,0.678581654
0.042675186,0.0118389,0.021691232,0.021682189,0.01319243,0.036923906,0.00049912,0.000189352,0.001383389,0,0,0,0,0,0,0.671820922
0.048356353,0.014233704,0.005415996,0.004548616,0.002877148,0.050322288,8.47E-06,9.93E-06,0.002572158,0.25,0.333333333,0,0,0,0.5,0.664728048
0.043404395,0.010587862,0.020909394,0.019994961,0.010711591,0.042166922,0.000424785,0.00012643,0.001794931,0,0,0,0,0,0,0.657282978
0.028451618,0.006493017,0.038809076,0.037626957,0.003040796,0.028280081,0.001448817,9.37E-06,0.000850521,0,0,0,0,0,0,0.649322973
0.008656003,0.005200779,0.044334087,0.036571385,0.004427827,0.006330965,0.001389451,2.05E-05,3.34E-05,0,0,0.333333333,0,0,0,0.641054566
0.002432857,0.001432037,0.036760181,0.00871061,0.010855952,0.025473217,6.97E-05,0.000121323,0.00065773,0,0,0,0,0.5,0,0.632434753
0.011204112,0.003323522,0.021072837,0.034605676,0.002907592,0.036847962,0.00125945,8.29E-06,0.001377314,0,0,0,0,0,0,0.623443137
0.035843868,0.005470599,0.006474204,0.056101511,0.006779065,0.016155144,0.003229328,4.79E-05,0.000297126,0,0,0.333333333,0,0,0,0.614380142
0.060195178,0.010212552,0.005812265,0.038225697,0.010685577,0.005693095,0.00150498,0.000113209,4.67E-05,0,0,0,0,0,0,0.604841397
0.070228892,0.016343037,0.00480789,0.012307319,0.008923931,0.044303508,6.12E-05,9.48E-05,0.002052457,0.25,0.333333333,0,0,0,0.5,0.595019774
0.055121103,0.015021608,0.03976769,0.055074896,0.014159539,0.114974003,0.003131099,0.000213959,0.013329015,0,0,0,0,0,0,0.585059289
0.020230091,0.005308299,0.092240195,0.079019768,0.017299009,0.094139578,0.006294421,0.00031476,0.008972673,0,0,0,0,0,0,0.574751626
0.017831717,0.000590408,0.118102317,0.071386734,0.005047191,0.027789711,0.005125249,2.25E-05,0.000260082,0,0,0.333333333,0,0.5,0,0.564236901
0.048079401,0.005543953,0.09134918,0.048213748,0.016235391,0.109859083,0.002379937,0.000273433,0.01225933,0,0,0,0,0,0,0.553739055
0.06381635,0.01329182,0.026733691,0.013303357,0.010051547,0.15301612,0.000186906,0.000108342,0.023363983,0.25,0,0,0,0,0.5,0.543030086
0.059460671,0.015186418,0.041639874,0.027560266,0.001867854,0.126882319,0.000806659,3.51E-06,0.016051449,0,0.333333333,0,0,0,0,0.532197172
0.039574063,0.012854221,0.092243644,0.048377968,0.007868294,0.087485958,0.002395149,6.30E-05,0.007636599,0,0,0,0,0,0,0.521234175
0.014588309,0.005047143,0.122393307,0.049778824,0.020888755,0.031903702,0.002493624,0.000445622,0.001133883,0,0,0.333333333,0,0.5,0,0.509917973
0.009088989,0.005378024,0.117507826,0.043428982,0.014344062,0.051906992,0.001920286,0.000216868,0.002832337,0,0,0,0.5,0,0,0.498620022
0.026242011,0.009541249,0.078984347,0.023801233,0.005580934,0.100823893,0.000588498,3.07E-05,0.010168434,0,0,0,0,0,0,0.487272307
0.032497663,0.013744751,0.02702918,0.004547486,0.007804594,0.115035659,8.83E-06,6.44E-05,0.013176229,0.25,0,0,0,0,0,0.47588604
0.026864908,0.013975704,0.02618511,0.023015906,0.009628657,0.107397753,0.000568584,0.000105471,0.011618505,0,0.333333333,0,0,0,0,0.464374954
0.012297491,0.005100066,0.064800827,0.028818322,0.020392562,0.049277087,0.000873117,0.000423709,0.002468143,0,0,0,0,0,0,0.452799333
0.003451688,0.005083863,0.075658451,0.006234346,0.017857515,0.009110265,3.34E-05,0.000323611,2.89E-05,0.25,0,0.333333333,0,0,0,0.441285212
0.005469578,0.011419075,0.06722509,0.008508851,0.006678066,0.029368549,7.23E-05,1.87E-05,0.000871363,0,0.333333333,0,0,0,0,0.430026041
0.013548626,0.007149216,0.049450065,0.025371603,0.014027526,0.043469534,0.000671966,0.000204232,0.001905771,0,0,0,0,0,0,0.418875571
0.02504492,0.001127957,0.02703188,0.012535246,0.008192695,0.050121422,0.000132476,7.20E-05,0.002554397,0.25,0,0,0,0.5,0,0.407818628
0.019613387,0.000908892,0.005600966,0.024520812,0.001219131,0.043474534,0.000656217,1.37E-06,0.001870582,0,0.333333333,0,0,0,0.5,0.397158764
0.008404011,0.001466942,0.014736022,0.019502674,0.007562981,0.039983891,0.000385795,6.26E-05,0.001645888,0,0,0,0,0.5,0,0.386893424
0.004969934,0.004175467,0.024022172,0.034185368,0.003432494,0.023806638,0.001206568,3.96E-06,0.000354829,0,0.333333333,0.333333333,0.5,0,0,0.377024211
0.02418327,0.00140287,0.011249604,0.041071081,0.009190489,0.095720398,0.001735847,9.44E-05,0.009469851,0,0,0,0,0.5,0.5,0.367597274
0.040835322,0.001539315,0.045015433,0.022439844,0.000968461,0.064908734,0.000531944,3.78E-07,0.004288317,0,0.333333333,0,0,0,0,0.358461829
0.045992263,0.001049827,0.057516346,0.00506495,0.000858135,0.027177227,1.41E-05,1.08E-06,0.000561116,0.25,0.333333333,0.333333333,0,0,0,0.349659636
0.039584578,0.002127341,0.026458372,0.020960166,0.004521594,0.102908706,0.000463049,2.76E-05,0.010697952,0,0,0,0,0,0,0.341501658
0.026299735,0.001886751,0.028957625,0.031739852,0.005706452,0.125576459,0.001040163,3.67E-05,0.015749245,0,0,0,0,0,0,0.33384034
0.008577767,0.002006895,0.085656215,0.0368655,0.007282646,0.109284431,0.001387656,5.76E-05,0.011918971,0,0,0,0,0,0,0.326771245
0.008928825,0.003405221,0.129211806,0.033241479,0.002745311,0.067047749,0.001132578,8.42E-06,0.004666396,0,0.333333333,0,0,0,0,0.320128024
0.023498459,0.001941108,0.143008347,0.023011955,0.001301691,0.017999465,0.000554493,1.33E-06,0.000197443,0,0.333333333,0.333333333,0,0,0,0.314104615
0.031607091,0.00272985,0.120839315,0.009073407,0.002245072,0.082641047,9.38E-05,6.40E-06,0.00690484,0,0,0,0,0,0,0.308574357
0.033515438,0.002930436,0.065953412,0.001505489,0.001576176,0.140981467,2.58E-06,3.20E-06,0.019892849,0.25,0.333333333,0,0,0,0,0.303577246
0.029872142,0.001452673,0.017540916,0.014172169,0.010448428,0.151496968,0.00022635,0.000115634,0.022812919,0,0,0,0,0.5,0.5,0.299231026
0.020386204,0.009044192,0.073869078,0.020857679,0.02151173,0.138733016,0.000455944,0.000490414,0.019248097,0,0,0,0,0,0,0.295419742
0.009808468,0.016937989,0.126786733,0.01888776,0.007813749,0.074031592,0.000380912,6.48E-05,0.00558668,0,0,0,0,0,0,0.292154564
0.003882282,0.016500183,0.142363943,0.004035327,0.011376934,0.016481233,1.43E-05,0.000144306,0.000122963,0.25,0,0.333333333,0,0,0,0.289638096
0.003796997,0.006854442,0.12785658,0.002635519,0.022225934,0.043925209,6.93E-06,0.000502156,0.001948388,0.25,0,0,0,0,0,0.287867767
0.001584076,0.003791099,0.104861705,0.013260298,0.01525164,0.052717892,0.000196768,0.000234068,0.002761193,0,0,0,0.5,0.5,0,0.286649802
0.006564046,0.011118717,0.073899203,0.010659626,0.015915904,0.08115848,0.000124195,0.000261914,0.006577016,0,0,0,0,0,0,0.286118407
0.011797131,0.01953764,0.028128714,0.008317912,0.012439641,0.103300855,8.21E-05,0.00016833,0.010702512,0,0,0,0,0,0,0.286096308
0.014427722,0.021338213,0.015941132,0.001912796,0.005540367,0.080042227,5.28E-06,3.38E-05,0.006443073,0,0.333333333,0,0,0,0.5,0.286577582
0.016050425,0.013465915,0.045023452,0.00427514,0.025726232,0.045744813,2.45E-05,0.000667503,0.002088718,0,0,0,0,0,0,0.287738865
0.018185051,0.006821172,0.062626766,0.002277958,0.041473149,0.027859033,5.82E-06,0.001735267,0.00083059,0.25,0,0,0,0.5,0,0.289080701
0.016747784,0.023930438,0.068563701,0.006884583,0.025320583,0.009905845,5.80E-05,0.000643308,6.36E-05,0,0,0.333333333,0,0,0,0.290983188
0.012075337,0.030766762,0.057472851,0.009096351,0.005867974,0.034972905,9.38E-05,1.16E-05,0.001262776,0,0.333333333,0,0,0,0,0.293226144
0.007989385,0.023912881,0.040901468,0.006641381,0.024400661,0.031167752,5.05E-05,0.000612161,0.000985882,0,0,0,0,0,0,0.295693495
0.003985067,0.007864127,0.02866923,0.008366618,0.036412923,0.01930298,8.15E-05,0.001327295,0.000375619,0,0,0,0,0.5,0,0.298335751
0.000987926,0.01290129,0.022189008,0.008607386,0.038342241,0.006668762,8.40E-05,0.001496349,3.76E-05,0,0,0.333333333,0.5,0,0,0.301179949
0.004381873,0.028026098,0.026123136,0.007337773,0.017512549,0.019230827,6.17E-05,0.000318013,0.000399895,0,0,0,0,0,0,0.304197697
0.008191616,0.031304534,0.036872789,0.007423821,0.004669806,0.021661194,6.14E-05,2.08E-05,0.000500993,0,0.333333333,0,0,0,0,0.307285294
0.012393578,0.026123474,0.042576359,0.007671222,0.015432787,0.004150566,6.57E-05,0.000239569,6.76E-06,0,0,0.333333333,0,0,0,0.310248388
